ID,Palavra,Imagem,Audio
df2bd38c,Afiados,Palavras_Images/df2bd38c.Imagem.002923.png,Palavras_Files_/df2bd38c.Audio.051911
1984590f,Infantil,Palavras_Images/1984590f.Imagem.051311.png,Palavras_Files_/1984590f.Audio.210336
bb983828,Professor,Palavras_Images/bb983828.Imagem.033501.png,Palavras_Files_/bb983828.Audio.041447
b575ead5,Liquidificador,Palavras_Images/b575ead5.Imagem.023159.png,Palavras_Files_/b575ead5.Audio.170754
d341db7c,Fofinho,,Palavras_Files_/d341db7c.Audio.203355
0bb48434,Telefone,Palavras_Images/0bb48434.Imagem.041836.png,Palavras_Files_/0bb48434.Audio.002218
7f3e399b,Dificuldade,Palavras_Images/7f3e399b.Imagem.201454.png,Palavras_Files_/7f3e399b.Audio.195000
375aee4e,Surfista,Palavras_Images/375aee4e.Imagem.024613.png,Palavras_Files_/375aee4e.Audio.001357
1ae1e456,Ofensa,Palavras_Images/1ae1e456.Imagem.225402.png,Palavras_Files_/1ae1e456.Audio.035903
a3f52de4,Inflável,Palavras_Images/a3f52de4.Imagem.224210.png,Palavras_Files_/a3f52de4.Audio.210401
6f686ffd,Informação,Palavras_Images/6f686ffd.Imagem.224250.png,Palavras_Files_/6f686ffd.Audio.210427
9897d566,Uniforme,Palavras_Images/9897d566.Imagem.034219.png,Palavras_Files_/9897d566.Audio.003530
b47ff25e,Informática,,Palavras_Files_/b47ff25e.Audio.210444
3dcb035a,Afeto,Palavras_Images/3dcb035a.Imagem.041446.png,Palavras_Files_/3dcb035a.Audio.051947
c0e37dfe,Esforço,,Palavras_Files_/c0e37dfe.Audio.201231
76222800,Afogado,Palavras_Images/76222800.Imagem.201709.png,Palavras_Files_/76222800.Audio.052025
c407460b,Enfurecido,,Palavras_Files_/c407460b.Audio.201249
f26e00ed,Enfermeira,,Palavras_Files_/f26e00ed.Audio.201307
9b0bbd23,Enfeite,,Palavras_Files_/9b0bbd23.Audio.201327
a2714a2b,Enfileirar,,Palavras_Files_/a2714a2b.Audio.201344
ffedb2de,Manga,,Palavras_Files_/ffedb2de.Audio.214706
20e127d0,Mingau,,Palavras_Files_/20e127d0.Audio.214727
95f11c12,Domingo,,Palavras_Files_/95f11c12.Audio.195016
38c6f2e1,Flamingo,Palavras_Images/38c6f2e1.Imagem.181850.png,Palavras_Files_/38c6f2e1.Audio.203410
7de2b932,Ligue,,Palavras_Files_/7de2b932.Audio.170815
f18ccd2e,Digue,,
a767ab45,Mago,,Palavras_Files_/a767ab45.Audio.214751
0c57a123,Sunga,,Palavras_Files_/0c57a123.Audio.001416
946344de,Jogo,Palavras_Images/946344de.Imagem.220304.png,Palavras_Files_/946344de.Audio.164913
93eb0ebf,Dengue,,Palavras_Files_/93eb0ebf.Audio.195129
8f061e81,Entrega,,Palavras_Files_/8f061e81.Audio.201406
84bd4035,Esmagar,,Palavras_Files_/84bd4035.Audio.201429
754f1860,Descarga,Palavras_Images/754f1860.Imagem.191910.png,Palavras_Files_/754f1860.Audio.195158
32a97959,Engasgar,,Palavras_Files_/32a97959.Audio.201448
aa952115,Pulga,Palavras_Images/aa952115.Imagem.202056.png,Palavras_Files_/aa952115.Audio.041503
53838456,Lago,Palavras_Images/53838456.Imagem.213931.png,Palavras_Files_/53838456.Audio.170841
fbff48b6,Frango,Palavras_Images/fbff48b6.Imagem.204132.png,Palavras_Files_/fbff48b6.Audio.203507
5227154b,Amargo,Palavras_Images/5227154b.Imagem.043953.png,Palavras_Files_/5227154b.Audio.052121
72009258,Aspargo,Palavras_Images/72009258.Imagem.183806.png,Palavras_Files_/72009258.Audio.052153
18d98095,Morango,,Palavras_Files_/18d98095.Audio.214807
ccc64cb3,Ringue,Palavras_Images/ccc64cb3.Imagem.231213.png,Palavras_Files_/ccc64cb3.Audio.224250
b87ecf3f,Língua,Palavras_Images/b87ecf3f.Imagem.215654.png,Palavras_Files_/b87ecf3f.Audio.170859
949d9701,Régua,Palavras_Images/949d9701.Imagem.041903.png,Palavras_Files_/949d9701.Audio.224310
b2c3d387,Gato,Palavras_Images/b2c3d387.Imagem.225743.png,Palavras_Files_/b2c3d387.Audio.195946
4773a122,Galinha,,Palavras_Files_/4773a122.Audio.200008
404c9b44,Gafanhoto,,Palavras_Files_/404c9b44.Audio.204956
50919bb8,Guizo,Palavras_Images/50919bb8.Imagem.190644.png,Palavras_Files_/50919bb8.Audio.200118
4bf35a4c,Guincho,,Palavras_Files_/4bf35a4c.Audio.200136
d34e560a,Guepardo,Palavras_Images/d34e560a.Imagem.223911.png,Palavras_Files_/d34e560a.Audio.200154
9fe8c27a,Gorro,Palavras_Images/9fe8c27a.Imagem.043153.png,Palavras_Files_/9fe8c27a.Audio.200218
b2350029,Goma,,Palavras_Files_/b2350029.Audio.201328
b4699007,Gorila,Palavras_Images/b4699007.Imagem.012542.png,Palavras_Files_/b4699007.Audio.205004
2305f1a1,Gulosa,,Palavras_Files_/2305f1a1.Audio.205022
470f4de6,Garça,Palavras_Images/470f4de6.Imagem.214000.png,Palavras_Files_/470f4de6.Audio.205045
7fafd994,Gastar,,Palavras_Files_/7fafd994.Audio.205103
54999542,Guacamole,,Palavras_Files_/54999542.Audio.205123
